district,soiltype,season,avgrainfall_mm,avgtemp_c,avghumidity_%,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,Crop
Ahmednagar,Laterite,Zaid,971,25,66,8,218,31,228,Wheat
Bhandara,Black,Zaid,1097,28,95,7,317,43,279,Cotton
Nashik,Red,Kharif,1024,28,76,8,332,28,249,Maize
Thane,Red,Kharif,1276,33,40,6,278,10,167,Tur
Jalgaon,Laterite,Kharif,324,22,97,7,271,28,211,Tur
Nanded,Black,Kharif,257,28,64,7,252,13,205,Maize
Chandrapur,Red,Zaid,915,23,59,6,311,21,234,Cotton
Amravati,Sandy,Zaid,878,25,62,6,263,36,153,Tur
Beed,Alluvial,Kharif,431,21,48,7,253,29,153,Maize
Hingoli,Sandy,Rabi,787,32,60,7,261,33,212,Wheat
Ahmednagar,Red,Kharif,837,27,60,8,298,10,284,Tur
Jalna,Black,Rabi,1797,20,67,6,222,18,189,Sugarcane
Chandrapur,Black,Kharif,729,36,77,7,279,34,194,Soybean
Akola,Alluvial,Rabi,944,34,54,7,308,23,191,Tur
Osmanabad,Alluvial,Rabi,326,27,79,7,353,25,232,Wheat
Wardha,Sandy,Rabi,589,33,64,7,250,33,213,Cotton
Chandrapur,Red,Kharif,1117,22,80,6,229,35,304,Wheat
Nashik,Red,Zaid,146,38,54,6,297,27,188,Rice
Sindhudurg,Alluvial,Rabi,445,27,71,8,195,32,165,Cotton
Mumbai Suburban,Laterite,Zaid,1036,32,56,7,231,35,289,Tur
Nandurbar,Black,Zaid,758,24,76,6,325,29,230,Maize
Gadchiroli,Black,Rabi,458,22,68,7,299,30,189,Maize
Chandrapur,Alluvial,Kharif,1300,18,87,6,252,27,191,Sugarcane
Buldhana,Alluvial,Zaid,1544,30,48,8,228,28,218,Soybean
Akola,Laterite,Rabi,1005,25,65,7,212,20,199,Maize
Kolhapur,Alluvial,Kharif,1624,23,52,7,293,13,144,Wheat
Gadchiroli,Black,Rabi,1186,22,68,7,213,16,219,Cotton
Wardha,Alluvial,Kharif,440,26,55,6,259,13,251,Sugarcane
Dhule,Alluvial,Zaid,885,30,75,7,269,19,270,Tur
Parbhani,Alluvial,Zaid,502,29,75,6,245,31,158,Tur
Sangli,Black,Kharif,595,33,57,7,242,29,239,Wheat
Mumbai Suburban,Laterite,Kharif,1005,25,70,6,257,25,211,Wheat
Nandurbar,Alluvial,Zaid,1139,31,47,7,282,23,203,Soybean
Chandrapur,Red,Zaid,1082,33,44,7,205,30,198,Maize
Akola,Laterite,Kharif,1195,28,48,7,260,21,290,Tur
Nanded,Laterite,Zaid,1302,34,84,7,265,45,98,Wheat
Jalgaon,Laterite,Zaid,599,33,55,6,276,29,237,Maize
Akola,Sandy,Rabi,688,33,83,7,243,27,231,Tur
Sindhudurg,Alluvial,Zaid,1435,25,81,7,243,8,251,Maize
Chandrapur,Laterite,Kharif,398,29,64,6,259,45,227,Tur
Mumbai Suburban,Sandy,Rabi,546,28,85,6,198,18,259,Maize
Mumbai City,Alluvial,Zaid,1052,30,54,7,222,22,197,Cotton
Thane,Alluvial,Rabi,315,19,48,8,236,23,251,Tur
Chandrapur,Black,Kharif,960,32,41,8,359,31,218,Soybean
Solapur,Sandy,Rabi,1732,30,90,7,323,34,196,Maize
Beed,Black,Rabi,1636,25,71,5,346,29,276,Soybean
Jalgaon,Red,Rabi,639,31,63,7,188,31,302,Maize
Parbhani,Sandy,Rabi,960,24,50,7,268,33,320,Tur
Nagpur,Alluvial,Rabi,639,30,59,6,305,41,225,Sugarcane
Sangli,Alluvial,Kharif,1056,28,44,7,209,23,247,Cotton
Jalgaon,Red,Rabi,642,37,58,7,303,27,232,Cotton
Chandrapur,Black,Kharif,1260,18,53,8,244,2,227,Tur
Dhule,Sandy,Kharif,1302,32,51,6,343,25,236,Wheat
Wardha,Alluvial,Kharif,669,23,59,7,325,24,254,Cotton
Palghar,Red,Rabi,866,24,64,6,160,21,227,Sugarcane
Palghar,Sandy,Kharif,620,28,48,7,201,20,226,Rice
Kolhapur,Laterite,Rabi,1212,26,40,7,381,21,234,Soybean
Osmanabad,Laterite,Zaid,467,27,83,7,269,27,204,Rice
Mumbai Suburban,Black,Kharif,729,32,94,8,263,41,209,Cotton
Chandrapur,Alluvial,Kharif,750,25,30,6,247,21,233,Wheat
Wardha,Sandy,Zaid,1251,31,63,7,306,24,235,Sugarcane
Yavatmal,Red,Kharif,917,23,49,6,310,-1,195,Maize
Akola,Sandy,Zaid,1259,26,33,7,330,39,282,Cotton
Amravati,Red,Zaid,835,35,84,8,284,16,217,Maize
Palghar,Red,Zaid,1128,30,78,7,303,22,195,Cotton
Ahmednagar,Sandy,Kharif,1090,27,57,7,378,17,197,Soybean
Mumbai City,Black,Kharif,750,21,64,7,295,54,181,Cotton
Wardha,Red,Kharif,946,23,64,7,263,23,251,Wheat
Jalna,Red,Kharif,1165,30,69,8,251,2,263,Wheat
Jalna,Black,Rabi,1103,31,87,5,340,17,228,Cotton
Nashik,Sandy,Kharif,654,28,58,8,312,20,205,Cotton
Latur,Sandy,Rabi,1025,27,34,8,176,23,208,Wheat
Kolhapur,Laterite,Rabi,859,27,43,7,343,42,256,Maize
Nagpur,Black,Rabi,572,17,65,7,299,16,263,Maize
Nashik,Sandy,Rabi,676,23,68,8,315,36,295,Wheat
Raigad,Sandy,Rabi,799,26,50,6,325,31,193,Soybean
Jalna,Black,Zaid,1097,24,82,7,342,20,234,Wheat
Sindhudurg,Sandy,Kharif,1015,28,48,7,259,22,271,Soybean
Amravati,Laterite,Kharif,606,25,64,7,258,30,166,Wheat
Pune,Black,Zaid,932,24,74,7,338,24,189,Maize
Nandurbar,Sandy,Rabi,1219,23,71,8,273,15,222,Rice
Akola,Sandy,Kharif,534,29,55,7,294,33,221,Rice
Parbhani,Sandy,Zaid,1355,28,36,6,283,20,235,Tur
Gondia,Sandy,Kharif,653,27,59,7,246,35,269,Cotton
Nagpur,Laterite,Kharif,742,23,81,7,268,26,187,Soybean
Latur,Alluvial,Kharif,1179,31,59,7,287,41,212,Soybean
Hingoli,Sandy,Rabi,1098,30,64,6,183,31,223,Rice
Washim,Alluvial,Rabi,868,26,90,7,250,24,243,Wheat
Pune,Black,Kharif,965,30,70,6,242,30,220,Rice
Thane,Sandy,Rabi,1065,31,60,8,217,31,186,Wheat
Jalgaon,Black,Rabi,1097,22,51,7,269,31,202,Sugarcane
Thane,Alluvial,Kharif,237,32,69,7,270,23,222,Wheat
Jalna,Sandy,Zaid,1076,34,59,7,268,25,177,Wheat
Palghar,Laterite,Zaid,1307,25,80,7,246,20,217,Sugarcane
Jalna,Laterite,Rabi,605,33,54,7,263,28,273,Wheat
Raigad,Sandy,Kharif,1046,35,49,7,332,46,210,Wheat
Satara,Laterite,Rabi,612,30,64,7,293,37,162,Cotton
Hingoli,Sandy,Kharif,722,28,62,7,208,14,252,Soybean
Kolhapur,Black,Zaid,164,27,43,7,296,32,218,Rice
Palghar,Black,Rabi,150,27,84,8,286,26,241,Sugarcane
Dhule,Alluvial,Zaid,808,27,80,7,287,31,173,Maize
Beed,Black,Zaid,1004,26,41,7,260,39,177,Wheat
Nanded,Black,Zaid,978,29,81,7,198,37,224,Sugarcane
Gondia,Sandy,Zaid,591,25,74,7,283,8,290,Tur
Solapur,Laterite,Kharif,992,20,50,6,354,37,219,Sugarcane
Yavatmal,Black,Rabi,851,26,62,7,270,28,267,Maize
Nandurbar,Black,Rabi,890,31,66,7,264,5,287,Tur
Jalgaon,Black,Kharif,783,27,60,8,218,32,267,Cotton
Pune,Sandy,Zaid,896,23,59,7,224,27,242,Tur
Washim,Laterite,Zaid,889,31,72,7,268,23,256,Sugarcane
Gadchiroli,Black,Zaid,972,30,87,7,243,12,317,Soybean
Bhandara,Red,Rabi,1154,33,77,7,350,20,227,Wheat
Nashik,Black,Rabi,1349,23,67,8,302,19,236,Tur
Raigad,Black,Rabi,637,24,74,7,273,16,188,Tur
Bhandara,Red,Kharif,1079,29,51,7,330,32,256,Sugarcane
Nandurbar,Alluvial,Zaid,953,35,84,8,295,28,189,Sugarcane
Gadchiroli,Sandy,Rabi,832,35,69,7,302,23,307,Wheat
Solapur,Laterite,Kharif,697,27,91,7,317,29,228,Soybean
Hingoli,Sandy,Kharif,781,29,98,7,243,38,248,Maize
Yavatmal,Alluvial,Kharif,579,29,78,7,373,12,205,Maize
Hingoli,Sandy,Kharif,1154,26,60,6,317,22,185,Wheat
Kolhapur,Black,Rabi,903,21,63,7,282,22,242,Sugarcane
Yavatmal,Red,Kharif,1319,32,58,7,323,39,271,Soybean
Wardha,Sandy,Kharif,951,22,82,6,321,39,257,Maize
Nashik,Laterite,Zaid,958,25,79,6,265,38,212,Wheat
Nagpur,Black,Rabi,347,19,79,7,253,23,234,Tur
Sangli,Black,Zaid,745,30,78,6,236,32,214,Sugarcane
Bhandara,Alluvial,Kharif,1114,27,31,7,304,32,249,Sugarcane
Ahmednagar,Black,Zaid,1350,29,90,6,189,24,230,Maize
Washim,Alluvial,Zaid,1332,23,72,7,248,27,261,Rice
Palghar,Alluvial,Kharif,539,28,51,7,284,27,280,Sugarcane
Dhule,Red,Rabi,1300,23,50,6,344,19,276,Wheat
Buldhana,Black,Zaid,581,24,58,7,279,29,187,Rice
Hingoli,Alluvial,Zaid,664,24,67,6,304,36,238,Wheat
Mumbai Suburban,Laterite,Zaid,1374,27,63,8,267,12,201,Sugarcane
Mumbai City,Laterite,Kharif,1173,28,45,7,277,11,206,Cotton
Jalna,Laterite,Kharif,1186,29,31,6,230,26,236,Soybean
Beed,Red,Rabi,990,39,59,6,201,13,198,Rice
Ahmednagar,Alluvial,Kharif,301,29,39,7,218,34,154,Cotton
Akola,Black,Zaid,846,29,49,8,326,25,191,Wheat
Washim,Red,Rabi,1237,26,40,8,237,28,155,Tur
Palghar,Black,Zaid,1009,33,67,7,300,30,220,Sugarcane
Wardha,Laterite,Kharif,1111,23,68,6,241,22,233,Tur
Raigad,Sandy,Rabi,729,28,55,8,282,37,239,Tur
Hingoli,Red,Kharif,631,31,84,7,271,22,168,Maize
Amravati,Sandy,Zaid,1354,25,73,7,308,23,200,Maize
Amravati,Laterite,Kharif,1539,30,62,7,263,39,228,Soybean
Latur,Red,Zaid,945,27,52,7,227,13,227,Sugarcane
Dhule,Red,Kharif,1022,30,55,7,265,25,158,Cotton
Chandrapur,Laterite,Zaid,381,27,99,7,177,36,296,Cotton
Thane,Laterite,Kharif,1038,26,73,8,283,17,203,Cotton
Hingoli,Alluvial,Rabi,690,34,85,6,349,13,263,Soybean
Pune,Red,Zaid,401,28,85,7,276,17,215,Wheat
Pune,Sandy,Kharif,613,26,78,6,222,21,182,Wheat
Akola,Sandy,Rabi,1041,24,51,8,219,19,235,Wheat
Parbhani,Laterite,Rabi,686,31,47,7,316,18,184,Soybean
Osmanabad,Black,Zaid,1021,24,72,8,315,17,207,Soybean
Parbhani,Alluvial,Kharif,577,25,57,8,220,42,201,Rice
Gadchiroli,Black,Zaid,997,31,72,7,237,21,155,Wheat
Osmanabad,Red,Zaid,1049,25,94,7,319,23,232,Tur
Chandrapur,Red,Zaid,862,34,60,7,275,23,108,Wheat
Pune,Black,Rabi,878,33,67,7,271,38,206,Soybean
Chandrapur,Black,Rabi,655,32,66,6,310,32,203,Sugarcane
Sangli,Black,Zaid,967,31,77,7,315,22,244,Cotton
Beed,Black,Kharif,1381,25,75,7,214,24,268,Tur
Sangli,Black,Rabi,1060,21,107,7,325,33,183,Sugarcane
Thane,Laterite,Rabi,986,22,80,6,208,7,240,Rice
Nagpur,Red,Zaid,987,34,67,8,272,14,203,Cotton
Jalgaon,Alluvial,Kharif,506,31,79,7,254,11,220,Cotton
Kolhapur,Red,Rabi,1143,23,66,7,331,10,187,Tur
Sangli,Red,Zaid,1561,32,27,8,240,16,94,Sugarcane
Latur,Sandy,Kharif,1058,21,73,7,263,2,131,Cotton
Sindhudurg,Laterite,Zaid,886,23,64,7,272,32,204,Wheat
Aurangabad,Sandy,Zaid,1495,28,57,8,270,29,289,Maize
Gondia,Black,Kharif,1195,32,73,6,267,29,276,Wheat
Amravati,Black,Zaid,1368,22,40,7,335,39,256,Wheat
Nanded,Red,Zaid,909,22,52,8,283,10,297,Wheat
Latur,Black,Kharif,496,22,59,7,286,26,169,Soybean
Gondia,Alluvial,Zaid,1251,16,81,7,155,35,162,Cotton
Nandurbar,Black,Rabi,920,27,53,7,188,20,208,Cotton
Nashik,Sandy,Rabi,1253,27,33,7,199,18,196,Soybean
Nandurbar,Black,Kharif,1325,32,77,7,334,23,251,Wheat
Nashik,Laterite,Kharif,890,29,84,6,187,27,233,Sugarcane
Gondia,Sandy,Rabi,1663,28,77,7,261,40,309,Rice
Gadchiroli,Laterite,Zaid,987,33,41,7,336,16,221,Tur
Sindhudurg,Sandy,Zaid,1269,27,70,7,250,27,271,Tur
Akola,Sandy,Kharif,1080,33,62,7,282,28,216,Rice
Solapur,Laterite,Zaid,482,35,50,6,278,41,185,Rice
Jalgaon,Red,Zaid,820,23,65,6,278,24,295,Tur
Washim,Black,Kharif,1070,26,63,6,306,32,192,Wheat
Kolhapur,Alluvial,Rabi,954,26,69,7,230,39,248,Wheat
Nanded,Sandy,Rabi,840,24,89,7,249,20,209,Cotton
Raigad,Sandy,Kharif,1005,22,42,7,267,37,218,Tur
Ahmednagar,Black,Kharif,1295,29,53,7,186,32,190,Maize
Dhule,Red,Zaid,506,27,75,6,238,10,235,Wheat
Nandurbar,Alluvial,Zaid,941,25,52,7,330,20,230,Cotton
Amravati,Sandy,Rabi,806,21,63,7,299,24,217,Cotton
Gadchiroli,Black,Kharif,1009,25,72,7,205,30,262,Cotton
Amravati,Black,Zaid,1090,24,80,7,342,34,143,Soybean
Wardha,Black,Zaid,1401,33,54,7,326,9,182,Maize
Nandurbar,Red,Zaid,386,24,67,7,308,29,160,Sugarcane
Palghar,Red,Kharif,692,20,66,7,289,29,216,Sugarcane
Sangli,Alluvial,Rabi,1202,24,65,7,320,21,258,Sugarcane
Washim,Alluvial,Zaid,863,29,54,7,188,16,175,Rice
Sangli,Sandy,Kharif,1297,13,80,7,309,41,180,Tur
Gondia,Laterite,Zaid,569,29,55,7,261,35,277,Cotton
Jalgaon,Laterite,Zaid,733,23,89,8,170,11,216,Maize
Mumbai City,Sandy,Kharif,983,36,56,7,274,22,265,Rice
Nagpur,Laterite,Zaid,1248,17,43,7,348,29,152,Wheat
Mumbai City,Alluvial,Zaid,491,28,63,7,188,41,301,Sugarcane
Mumbai City,Laterite,Kharif,978,29,37,7,286,3,239,Wheat
Beed,Sandy,Zaid,674,26,76,7,273,27,251,Wheat
Chandrapur,Sandy,Kharif,783,23,74,7,243,25,245,Wheat
Nagpur,Sandy,Zaid,546,20,47,7,313,28,202,Wheat
Jalgaon,Black,Rabi,364,30,63,7,241,29,197,Rice
Nagpur,Red,Rabi,1024,34,88,8,349,7,196,Tur
Amravati,Black,Rabi,450,29,63,7,236,33,241,Rice
Washim,Black,Kharif,1074,33,64,7,320,13,312,Soybean
Raigad,Black,Zaid,974,27,62,6,302,35,331,Maize
Pune,Alluvial,Rabi,1485,34,89,7,248,39,237,Sugarcane
Buldhana,Alluvial,Rabi,1217,29,44,7,263,35,180,Sugarcane
Latur,Black,Kharif,1326,22,75,7,333,5,172,Tur
Nanded,Alluvial,Zaid,1134,33,59,7,309,31,266,Tur
Hingoli,Alluvial,Kharif,1175,30,51,6,233,17,171,Soybean
Thane,Red,Rabi,1324,28,38,7,282,31,95,Sugarcane
Hingoli,Black,Rabi,1132,23,53,7,255,17,240,Rice
Hingoli,Red,Zaid,811,36,58,6,229,37,159,Soybean
Mumbai Suburban,Black,Kharif,1123,31,22,7,252,37,186,Wheat
Bhandara,Black,Rabi,1101,22,62,7,248,17,209,Sugarcane
Akola,Laterite,Rabi,1229,24,69,7,302,20,292,Wheat
Raigad,Sandy,Kharif,849,29,57,7,286,23,323,Soybean
Osmanabad,Sandy,Rabi,1098,23,33,7,328,39,222,Sugarcane
Wardha,Red,Zaid,591,31,45,7,303,1,218,Tur
Palghar,Laterite,Rabi,1127,24,63,7,250,47,251,Wheat
Buldhana,Alluvial,Zaid,557,25,46,7,279,23,211,Rice
Chandrapur,Laterite,Kharif,1141,31,73,7,346,40,205,Maize
Nandurbar,Alluvial,Zaid,1026,35,84,6,201,36,154,Sugarcane
Thane,Laterite,Zaid,938,28,70,7,286,18,200,Wheat
Nandurbar,Red,Kharif,1203,28,77,8,204,18,169,Sugarcane
Satara,Alluvial,Zaid,484,26,46,7,237,31,230,Maize
Nandurbar,Sandy,Kharif,969,34,64,7,266,43,288,Tur
Nashik,Black,Zaid,1294,33,64,7,252,12,213,Sugarcane
Bhandara,Black,Kharif,670,24,85,6,296,13,213,Wheat
Yavatmal,Sandy,Zaid,1250,30,67,6,307,10,230,Tur
Dhule,Laterite,Kharif,993,29,70,7,314,17,246,Cotton
Solapur,Red,Zaid,440,25,63,7,263,23,232,Maize
Bhandara,Black,Zaid,726,31,79,8,246,15,198,Cotton
Akola,Red,Rabi,665,16,62,8,231,29,108,Maize
Amravati,Sandy,Rabi,686,28,46,7,283,27,152,Rice
Osmanabad,Black,Zaid,1103,30,56,6,284,23,258,Rice
Ahmednagar,Red,Rabi,1066,25,66,8,250,25,241,Sugarcane
Sindhudurg,Alluvial,Zaid,1000,32,57,7,337,18,255,Sugarcane
Bhandara,Laterite,Zaid,1623,34,87,7,230,33,246,Tur
Pune,Laterite,Rabi,1358,32,72,7,284,25,189,Tur
Gondia,Black,Zaid,1151,33,65,7,279,40,227,Sugarcane
Sangli,Red,Kharif,758,24,77,7,278,38,250,Tur
Parbhani,Alluvial,Kharif,1040,30,50,7,257,33,243,Soybean
Bhandara,Red,Rabi,819,28,69,7,325,9,168,Wheat
Nandurbar,Black,Rabi,947,27,68,6,265,31,220,Wheat
Parbhani,Laterite,Kharif,989,21,64,7,183,24,121,Wheat
Ahmednagar,Black,Zaid,712,30,48,7,268,23,272,Tur
Chandrapur,Laterite,Zaid,1255,27,54,7,215,18,279,Tur
Jalgaon,Sandy,Rabi,609,31,46,6,305,36,176,Cotton
Parbhani,Laterite,Kharif,770,24,56,6,341,21,231,Sugarcane
Jalna,Red,Rabi,796,32,68,7,276,26,272,Rice
Nanded,Red,Kharif,1158,21,62,8,174,30,247,Rice
Mumbai Suburban,Sandy,Kharif,401,19,70,7,313,13,246,Soybean
Mumbai City,Black,Rabi,550,20,79,6,228,25,177,Sugarcane
Yavatmal,Alluvial,Kharif,719,33,64,6,265,31,190,Cotton
Mumbai City,Sandy,Zaid,960,21,74,7,309,15,192,Wheat
Dhule,Laterite,Kharif,1479,24,63,7,201,24,235,Maize
Wardha,Red,Zaid,1179,21,46,7,308,23,288,Soybean
Satara,Sandy,Rabi,1018,22,69,7,297,17,204,Wheat
Parbhani,Red,Kharif,1355,25,53,8,334,22,235,Cotton
Hingoli,Black,Rabi,1241,32,74,8,300,29,183,Cotton
Kolhapur,Red,Zaid,734,24,67,7,242,21,259,Cotton
Nanded,Black,Rabi,1172,26,86,7,242,33,157,Sugarcane
Ahmednagar,Alluvial,Zaid,704,17,49,8,304,12,156,Tur
Nagpur,Sandy,Kharif,1325,20,78,6,243,32,150,Sugarcane
Gadchiroli,Black,Zaid,553,24,74,7,348,33,135,Maize
Ratnagiri,Sandy,Zaid,1226,22,65,7,270,30,247,Maize
Kolhapur,Red,Zaid,985,27,57,8,263,38,143,Soybean
Thane,Sandy,Kharif,1101,27,75,8,300,33,179,Rice
Gadchiroli,Alluvial,Kharif,990,26,66,6,228,23,198,Sugarcane
Latur,Black,Kharif,663,27,75,6,277,16,206,Soybean
Gondia,Sandy,Rabi,642,30,71,7,295,35,184,Maize
Jalgaon,Laterite,Kharif,862,25,81,7,308,36,221,Rice
Parbhani,Red,Zaid,810,28,86,7,222,23,180,Tur
Nanded,Laterite,Kharif,858,31,66,7,231,31,248,Wheat
Gondia,Laterite,Rabi,1101,21,63,8,328,26,241,Wheat
Chandrapur,Red,Zaid,1070,30,74,8,341,35,301,Rice
Sindhudurg,Sandy,Zaid,479,25,60,8,324,28,164,Rice
Kolhapur,Laterite,Zaid,1143,35,45,8,317,22,190,Soybean
Sangli,Laterite,Rabi,781,25,74,6,320,22,193,Cotton
Solapur,Red,Zaid,786,19,77,7,294,26,217,Soybean
Hingoli,Sandy,Rabi,991,22,75,8,317,35,288,Cotton
Jalna,Red,Rabi,1391,28,71,8,324,21,262,Rice
Kolhapur,Sandy,Rabi,1424,30,74,7,313,31,285,Rice
Gondia,Alluvial,Kharif,1600,31,40,7,285,46,254,Sugarcane
Osmanabad,Laterite,Rabi,1179,32,81,7,260,29,229,Sugarcane
Beed,Sandy,Kharif,1024,27,62,8,298,42,299,Rice
Palghar,Alluvial,Kharif,1133,35,63,7,312,25,283,Cotton
Jalgaon,Alluvial,Zaid,759,23,54,7,213,37,226,Maize
Nashik,Sandy,Zaid,519,29,62,7,296,19,193,Cotton
Sindhudurg,Alluvial,Kharif,1344,29,53,7,297,17,246,Rice
Mumbai Suburban,Alluvial,Kharif,677,30,73,6,290,31,142,Soybean
Nanded,Black,Rabi,1361,29,62,7,227,38,199,Wheat
Aurangabad,Sandy,Rabi,1146,29,68,7,299,21,222,Wheat
Sangli,Sandy,Zaid,1313,31,79,7,259,33,187,Sugarcane
Hingoli,Sandy,Zaid,782,35,65,8,333,21,330,Sugarcane
Buldhana,Laterite,Kharif,850,30,42,7,252,22,193,Rice
Amravati,Red,Kharif,835,31,53,7,364,16,171,Maize
Buldhana,Laterite,Rabi,1283,33,65,7,247,22,275,Sugarcane
Yavatmal,Sandy,Kharif,477,27,69,8,277,26,307,Wheat
Nagpur,Alluvial,Kharif,902,33,67,7,271,31,221,Maize
Beed,Sandy,Kharif,766,32,57,6,232,27,265,Tur
Jalna,Red,Kharif,1329,17,54,8,314,18,223,Tur
Aurangabad,Red,Rabi,1164,23,48,7,282,16,265,Wheat
Wardha,Sandy,Zaid,1062,36,70,7,351,19,113,Sugarcane
Beed,Laterite,Rabi,1034,25,74,7,179,22,185,Sugarcane
Palghar,Alluvial,Rabi,590,22,61,7,248,17,257,Maize
Sangli,Laterite,Zaid,979,29,48,7,287,25,214,Wheat
Latur,Red,Rabi,890,25,51,6,244,28,200,Sugarcane
Beed,Sandy,Zaid,426,25,49,7,315,37,236,Rice
Mumbai City,Sandy,Kharif,373,27,73,7,240,37,237,Maize
Ahmednagar,Laterite,Rabi,582,33,78,7,233,16,198,Cotton
Palghar,Laterite,Kharif,655,25,86,7,265,30,201,Soybean
Satara,Black,Rabi,884,30,52,8,300,27,261,Sugarcane
Jalgaon,Sandy,Rabi,783,26,71,7,320,25,283,Soybean
Buldhana,Sandy,Rabi,800,30,54,8,276,37,223,Cotton
Aurangabad,Sandy,Zaid,936,26,58,8,329,26,277,Sugarcane
Jalgaon,Laterite,Kharif,1234,29,80,8,335,26,217,Wheat
Satara,Sandy,Zaid,1190,30,80,8,288,24,242,Tur
Yavatmal,Red,Rabi,568,22,77,8,209,27,244,Wheat
Dhule,Laterite,Kharif,1271,33,44,7,296,3,221,Soybean
Gadchiroli,Laterite,Rabi,1052,28,92,7,283,26,243,Rice
Thane,Alluvial,Rabi,1384,32,75,7,250,18,246,Sugarcane
Amravati,Red,Zaid,1074,21,38,7,309,29,183,Rice
Nandurbar,Red,Rabi,1098,26,59,8,246,49,187,Cotton
Satara,Black,Kharif,1566,29,58,8,278,15,208,Rice
Buldhana,Black,Zaid,1046,22,45,7,325,52,243,Soybean
Gadchiroli,Black,Rabi,1119,33,55,7,277,14,295,Sugarcane
Sangli,Sandy,Kharif,1059,26,72,9,299,22,201,Soybean
Aurangabad,Sandy,Kharif,962,18,55,7,308,15,204,Wheat
Thane,Red,Rabi,778,23,65,7,230,38,228,Tur
Hingoli,Alluvial,Zaid,1032,30,25,7,294,30,163,Rice
Raigad,Red,Zaid,1291,31,75,7,280,16,198,Maize
Jalna,Sandy,Rabi,310,27,61,7,249,12,205,Maize
Ahmednagar,Black,Kharif,984,32,48,6,233,29,218,Sugarcane
Mumbai City,Red,Rabi,868,26,44,7,255,24,257,Wheat
Washim,Sandy,Kharif,1117,25,61,8,359,17,180,Cotton
Akola,Sandy,Kharif,1062,29,43,7,192,33,177,Tur
Ratnagiri,Black,Zaid,716,30,30,7,213,44,163,Tur
Yavatmal,Red,Kharif,955,32,68,7,289,17,224,Rice
Ahmednagar,Red,Rabi,1616,28,76,8,244,9,277,Soybean
Chandrapur,Black,Rabi,1199,29,86,8,225,19,178,Rice
Gadchiroli,Laterite,Zaid,877,28,88,8,369,17,155,Maize
Nandurbar,Black,Kharif,1542,30,65,7,221,33,214,Wheat
Amravati,Alluvial,Zaid,973,26,64,7,272,26,228,Wheat
Aurangabad,Laterite,Rabi,1031,24,82,8,244,34,189,Sugarcane
Jalgaon,Alluvial,Zaid,1868,36,60,7,324,14,187,Tur
Mumbai City,Alluvial,Kharif,1470,30,82,7,257,27,234,Tur
Osmanabad,Laterite,Rabi,1238,30,53,6,232,45,226,Rice
Thane,Black,Kharif,1355,28,60,7,338,27,277,Wheat
Hingoli,Black,Zaid,928,26,50,7,201,25,154,Rice
Yavatmal,Sandy,Zaid,291,27,62,6,209,45,249,Wheat
Hingoli,Red,Kharif,1072,26,70,6,281,16,223,Soybean
Mumbai Suburban,Laterite,Kharif,732,18,68,7,265,33,148,Cotton
Ratnagiri,Black,Zaid,391,33,90,8,315,25,173,Wheat
Nandurbar,Black,Zaid,974,30,58,8,374,24,222,Maize
Nanded,Sandy,Rabi,829,17,68,7,352,23,285,Tur
Pune,Laterite,Zaid,1024,28,74,6,260,19,198,Rice
Nandurbar,Red,Zaid,466,31,64,7,239,14,266,Rice
Latur,Laterite,Rabi,1241,22,59,7,288,25,166,Wheat
Parbhani,Sandy,Rabi,580,26,43,6,264,20,230,Sugarcane
Nanded,Alluvial,Rabi,1068,32,49,7,244,27,279,Maize
Latur,Laterite,Kharif,767,41,37,7,383,22,332,Cotton
Chandrapur,Sandy,Rabi,1332,27,32,7,257,12,229,Tur
Jalna,Laterite,Kharif,980,19,35,7,230,23,189,Soybean
Yavatmal,Sandy,Kharif,240,27,75,8,235,38,198,Tur
Nanded,Laterite,Rabi,997,19,55,6,312,15,163,Cotton
Ahmednagar,Laterite,Zaid,1288,26,52,7,309,25,243,Soybean
Nagpur,Alluvial,Kharif,965,22,65,6,303,30,153,Sugarcane
Ahmednagar,Alluvial,Rabi,933,29,56,6,301,14,217,Tur
Sangli,Alluvial,Kharif,1004,32,55,7,280,25,221,Cotton
Wardha,Red,Zaid,1122,26,72,7,257,24,267,Wheat
Dhule,Sandy,Zaid,1150,28,71,7,273,25,163,Maize
Sangli,Red,Kharif,745,25,63,7,297,19,227,Soybean
Kolhapur,Black,Kharif,1404,28,72,6,300,25,203,Tur
Buldhana,Black,Rabi,1475,28,72,6,218,27,201,Cotton
Jalgaon,Black,Zaid,1109,31,64,7,268,33,184,Tur
Sangli,Sandy,Rabi,991,29,75,7,201,19,177,Cotton
Pune,Alluvial,Rabi,1276,28,97,6,315,22,262,Maize
Nanded,Red,Zaid,1290,31,67,7,254,21,185,Cotton
Nashik,Sandy,Kharif,972,35,54,6,296,31,196,Tur
Yavatmal,Red,Rabi,718,34,58,7,292,14,266,Sugarcane
Ratnagiri,Sandy,Zaid,189,25,65,7,300,31,185,Rice
Palghar,Alluvial,Rabi,1108,26,103,8,240,14,249,Maize
Amravati,Laterite,Kharif,1052,28,56,8,234,28,173,Wheat
Parbhani,Alluvial,Zaid,1282,35,53,6,365,25,172,Rice
Palghar,Red,Kharif,1112,29,87,9,313,14,241,Cotton
Nagpur,Laterite,Kharif,902,28,74,7,224,33,243,Soybean
